"Date","Bottom 90% average annual wages","90-95th average annual wages","95th-99th average annual wages","90th-99th average annual wages","top 5% average annual wages","99th-99.9th average annual wages","Upper 0.1% average annual wages","99th-100th average annual wages"
"2020","$40,085","$133,482","$222,793","$173,176","$342,987","$558,349","$3,212,486","$823,763"
"2019","$39,409","$131,620","$213,139","$167,851","$324,092","$528,308","$2,924,246","$767,902"
"2018","$38,732","$126,374","$208,496","$162,873","$318,885","$523,302","$2,894,671","$760,439"
"2017","$38,206","$125,025","$205,986","$161,007","$316,586","$519,858","$2,911,128","$758,985"
"2016","$37,843","$124,409","$204,616","$160,057","$310,037","$513,612","$2,694,711","$731,722"
"2015","$37,672","$124,131","$204,379","$159,797","$314,634","$520,021","$2,876,374","$755,657"
"2014","$36,442","$120,303","$197,549","$154,635","$304,925","$506,797","$2,783,087","$734,426"
"2013","$35,981","$118,881","$193,972","$152,255","$295,264","$494,140","$2,557,032","$700,429"
"2012","$35,845","$118,171","$192,591","$151,246","$300,552","$501,519","$2,810,285","$732,396"
"2011","$35,808","$118,123","$190,889","$150,463","$290,767","$490,348","$2,489,670","$690,280"
"2010","$36,018","$117,676","$189,470","$149,584","$287,757","$480,735","$2,482,476","$680,909"
"2009","$36,253","$117,345","$186,832","$148,228","$276,985","$459,165","$2,243,480","$637,597"
"2008","$34,975","$112,171","$180,488","$142,534","$279,485","$462,726","$2,590,205","$675,474"
"2007","$36,475","$116,257","$189,061","$148,614","$302,375","$502,071","$3,037,633","$755,627"
"2006","$34,907","$110,843","$178,566","$140,942","$281,391","$470,420","$2,693,137","$692,691"
"2005","$34,700","$109,470","$174,599","$138,416","$273,665","$457,725","$2,579,777","$669,930"
"2004","$36,148","$113,390","$178,962","$142,533","$277,176","$461,614","$2,545,816","$670,034"
"2003","$36,159","$113,013","$176,325","$141,152","$267,272","$445,682","$2,299,444","$631,058"
"2002","$36,137","$111,864","$174,306","$139,616","$262,895","$438,045","$2,230,097","$617,250"
"2001","$36,188","$111,881","$178,135","$141,327","$278,453","$462,989","$2,630,358","$679,726"
"2000","$36,038","$109,946","$180,101","$141,126","$288,476","$482,830","$2,874,292","$721,976"
"1999","$35,381","$108,386","$173,846","$137,479","$274,585","$460,530","$2,630,631","$677,541"
"1998","$34,697","$105,213","$168,138","$133,180","$260,212","$439,351","$2,330,925","$628,509"
"1997","$33,449","$101,329","$160,999","$127,849","$247,143","$419,826","$2,138,737","$591,717"
"1996","$32,535","$98,473","$154,606","$123,421","$229,283","$398,885","$1,689,933","$527,990"
"1995","$32,146","$97,261","$151,073","$121,177","$221,260","$384,817","$1,556,713","$502,006"
"1994","$31,882","$96,414","$147,275","$119,019","$214,234","$370,029","$1,490,436","$482,070"
"1993","$31,549","$94,675","$146,804","$117,844","$216,514","$375,068","$1,577,922","$495,353"
"1992","$31,742","$94,503","$145,116","$116,998","$218,913","$384,420","$1,681,225","$514,101"
"1991","$31,270","$92,738","$140,502","$113,967","$202,993","$353,969","$1,343,843","$452,957"
"1990","$31,616","$92,842","$141,794","$114,598","$210,640","$372,299","$1,509,556","$486,025"
"1989","$31,826","$93,781","$143,899","$116,056","$211,447","$371,730","$1,470,822","$481,639"
